day_of_year,days_before,increase_factor
1,4,2.64
1,7,4.45
1,10,5.11
1,21,7.14
2,4,0.91
2,7,1.44
2,10,1.68
2,21,2.59
3,4,2.12
3,7,3.28
3,10,4.01
3,21,5.38
4,4,1.01
4,7,1.51
4,10,2.18
4,21,3.82
5,4,0.97
5,7,1.5
5,10,2.07
5,21,3.59
6,4,0.93
6,7,1.41
6,10,2.32
6,21,5.34
7,4,0.72
7,7,1.15
7,10,1.8
7,21,4.46
8,4,0.89
8,7,1.58
8,10,2.34
8,21,5.95
91,4,0.49
91,7,0.68
91,10,0.81
91,21,1.02
92,4,0.43
92,7,0.54
92,10,0.62
92,21,1.51
96,4,0.64
96,7,0.82
96,10,0.96
96,21,1.88
97,4,0.28
97,7,0.48
97,10,0.6
97,21,1.16
98,4,0.87
98,7,1.38
98,10,1.53
98,21,2.75
99,4,0.57
99,7,0.91
99,10,1.1
99,21,1.83
100,4,0.68
100,7,0.91
100,10,1.21
100,21,2.01
101,4,0.94
101,7,1.23
101,10,1.61
101,21,2.64
102,4,0.93
102,7,1.2
102,10,1.52
102,21,2.95
103,4,1.06
103,7,1.35
103,10,1.73
103,21,2.95
104,4,0.68
104,7,0.96
104,10,1.19
104,21,2.25
105,4,0.72
105,7,0.9
105,10,1.02
105,21,1.48
106,4,1.04
106,7,1.47
106,10,1.59
106,21,2.79
107,4,0.42
107,7,0.8
107,10,0.88
107,21,1.7
108,4,0.5
108,7,0.83
108,10,1.32
108,21,2.78
112,4,1.56
112,7,2.46
112,10,2.87
112,21,4.21
113,4,0.85
113,7,1.14
113,10,1.41
113,21,2.2
114,4,0.67
114,7,1.19
114,10,1.52
114,21,2.44
119,4,1.42
119,7,1.95
119,10,2.14
119,21,3.13
120,4,1.53
120,7,2.24
120,10,2.65
120,21,4.29
121,4,2.34
121,7,3.66
121,10,4.4
121,21,8.5
126,4,2.57
126,7,3.39
126,10,3.72
126,21,4.99
127,4,1.46
127,7,2.16
127,10,2.57
127,21,3.87
128,4,1.46
128,7,2.36
128,10,2.7
128,21,4.17
133,4,0.66
133,7,0.9
133,10,1.1
133,21,1.83
134,4,1.28
134,7,2.86
134,10,3.3
134,21,4.54
135,4,1.09
135,7,1.78
135,10,2.12
135,21,3.36
138,4,1.56
138,7,1.96
138,10,2.52
138,21,4.17
139,4,1.24
139,7,1.63
139,10,1.92
139,21,2.84
140,4,1.34
140,7,1.84
140,10,2.14
140,21,3.12
141,4,0.95
141,7,1.57
141,10,2.08
141,21,7.15
142,4,1.05
142,7,1.45
142,10,1.72
142,21,2.94
146,4,0.65
146,7,0.92
146,10,1.27
146,21,2.67
147,4,1.0
147,7,1.37
147,10,1.65
147,21,2.53
148,4,0.51
148,7,0.85
148,10,1.18
148,21,4.16
149,4,1.08
149,7,1.54
149,10,1.94
149,21,3.16
153,4,1.23
153,7,1.45
153,10,1.7
153,21,2.53
154,4,1.01
154,7,1.42
154,10,1.76
154,21,2.73
155,4,1.02
155,7,1.43
155,10,1.7
155,21,2.32
156,4,1.37
156,7,1.94
156,10,2.33
156,21,3.41
157,4,1.65
157,7,2.64
157,10,3.39
157,21,5.09
158,4,0.84
158,7,1.05
158,10,1.3
158,21,1.91
159,4,1.17
159,7,1.33
159,10,1.54
159,21,2.37
160,4,1.08
160,7,1.36
160,10,1.64
160,21,2.65
161,4,0.91
161,7,1.19
161,10,1.42
161,21,2.01
162,4,1.17
162,7,1.53
162,10,1.76
162,21,2.46
163,4,1.03
163,7,1.4
163,10,1.68
163,21,2.51
164,4,1.11
164,7,1.44
164,10,1.72
164,21,2.49
165,4,0.91
165,7,1.15
165,10,1.44
165,21,2.19
166,4,1.17
166,7,1.38
166,10,1.67
166,21,2.34
167,4,0.51
167,7,0.68
167,10,0.84
167,21,1.21
168,4,0.91
168,7,1.19
168,10,1.38
168,21,2.06
169,4,0.39
169,7,0.62
169,10,0.78
169,21,1.26
170,4,1.46
170,7,1.96
170,10,2.4
170,21,4.23
171,4,0.96
171,7,1.34
171,10,1.65
171,21,2.45
172,4,1.12
172,7,1.44
172,10,1.79
172,21,2.64
173,4,1.3
173,7,1.59
173,10,1.96
173,21,3.39
174,4,1.3
174,7,1.65
174,10,2.07
174,21,3.57
175,4,1.12
175,7,1.55
175,10,1.86
175,21,3.11
176,4,0.99
176,7,1.46
176,10,1.75
176,21,2.91
177,4,0.86
177,7,1.23
177,10,1.47
177,21,2.51
178,4,0.86
178,7,1.15
178,10,1.36
178,21,2.11
179,4,0.94
179,7,1.18
179,10,1.42
