,date,days_before,bookings,weather_temp,weather_rain,weather_available,visitors,bookings_increase
0,2010-05-01,4,234.0,14.0,0.0,1,780,2.34
1,2010-05-01,7,167.0,14.0,0.0,1,780,3.66
2,2010-05-01,10,144.0,0.0,0.0,0,780,4.4
3,2010-05-01,21,82.0,0.0,0.0,0,780,8.5
4,2010-05-02,4,292.0,12.3,0.0,1,557,0.91
5,2010-05-02,7,228.0,12.3,0.0,1,557,1.44
6,2010-05-02,10,208.0,0.0,0.0,0,557,1.68
7,2010-05-02,21,155.0,0.0,0.0,0,557,2.59
8,2010-05-03,4,59.0,12.4,0.0,1,112,0.91
9,2010-05-03,7,46.0,12.4,0.0,1,112,1.44
10,2010-05-03,10,42.0,0.0,0.0,0,112,1.68
11,2010-05-03,21,31.0,0.0,0.0,0,112,2.59
12,2010-05-04,4,55.0,12.1,0.0,1,106,0.91
13,2010-05-04,7,43.0,12.1,0.0,1,106,1.44
14,2010-05-04,10,40.0,0.0,0.0,0,106,1.68
15,2010-05-04,21,30.0,0.0,0.0,0,106,2.59
16,2010-05-05,4,55.0,11.2,0.0,1,105,0.91
17,2010-05-05,7,43.0,11.2,0.0,1,105,1.44
18,2010-05-05,10,39.0,0.0,0.0,0,105,1.68
19,2010-05-05,21,29.0,0.0,0.0,0,105,2.59
20,2010-05-06,4,38.0,9.6,0.0,1,134,2.57
21,2010-05-06,7,31.0,9.6,0.0,1,134,3.39
22,2010-05-06,10,28.0,0.0,0.0,0,134,3.72
23,2010-05-06,21,22.0,0.0,0.0,0,134,4.99
24,2010-05-07,4,122.0,11.1,0.0,1,301,1.46
25,2010-05-07,7,95.0,11.1,0.0,1,301,2.16
26,2010-05-07,10,84.0,0.0,0.0,0,301,2.57
27,2010-05-07,21,62.0,0.0,0.0,0,301,3.87
28,2010-05-08,4,251.0,6.5,1.0,1,617,1.46
29,2010-05-08,7,184.0,6.5,1.0,1,617,2.36
30,2010-05-08,10,167.0,0.0,0.0,0,617,2.7
31,2010-05-08,21,119.0,0.0,0.0,0,617,4.17
32,2010-05-09,4,296.0,10.8,0.0,1,565,0.91
33,2010-05-09,7,232.0,10.8,0.0,1,565,1.44
34,2010-05-09,10,211.0,0.0,0.0,0,565,1.68
35,2010-05-09,21,157.0,0.0,0.0,0,565,2.59
36,2010-05-10,4,94.0,13.9,0.0,1,179,0.91
37,2010-05-10,7,73.0,13.9,0.0,1,179,1.44
38,2010-05-10,10,67.0,0.0,0.0,0,179,1.68
39,2010-05-10,21,50.0,0.0,0.0,0,179,2.59
40,2010-05-11,4,185.0,13.1,0.0,1,354,0.91
41,2010-05-11,7,145.0,13.1,0.0,1,354,1.44
42,2010-05-11,10,132.0,0.0,0.0,0,354,1.68
43,2010-05-11,21,99.0,0.0,0.0,0,354,2.59
44,2010-05-12,4,276.0,13.5,0.0,1,527,0.91
45,2010-05-12,7,216.0,13.5,0.0,1,527,1.44
46,2010-05-12,10,197.0,0.0,0.0,0,527,1.68
47,2010-05-12,21,147.0,0.0,0.0,0,527,2.59
48,2010-05-13,4,1107.0,12.5,1.0,1,1837,0.66
