,Unnamed: 0,date,days_before,bookings,weather_temp,weather_rain,weather_available,visitors,bookings_increase
7348,7348,2022-04-07,4,,4.1,1.0,1,838,0.2792281498297389
7349,7349,2022-04-07,7,,4.1,1.0,1,838,0.4764192139737991
7350,7350,2022-04-07,10,,0.0,0.0,0,838,0.5978260869565217
7351,7351,2022-04-07,21,,0.0,0.0,0,838,1.1645326504481437
7352,7352,2022-04-09,4,2945.0,5.4,1.0,1,3332,0.5682230528117342
7353,7353,2022-04-09,7,2576.0,5.4,1.0,1,3332,0.9080403556143348
7354,7354,2022-04-09,10,2452.0,0.0,0.0,0,3332,1.1004353554937327
7355,7355,2022-04-09,21,2046.0,0.0,0.0,0,3332,1.8315014794853504
7356,7356,2022-04-10,4,3575.0,10.6,0.0,1,4856,0.683973489556164
7357,7357,2022-04-10,7,3279.0,10.6,0.0,1,4856,0.9148368711320356
7358,7358,2022-04-10,10,2929.0,0.0,0.0,0,4856,1.212948072824524
7359,7359,2022-04-10,21,2284.0,0.0,0.0,0,4856,2.013013929893718
7360,7360,2022-04-11,4,1841.0,12.1,0.0,1,3009,0.9375105188091156
7361,7361,2022-04-11,7,1647.0,12.1,0.0,1,3009,1.232506234511441
7362,7362,2022-04-11,10,1432.0,0.0,0.0,0,3009,1.6054345624464186
7363,7363,2022-04-11,21,950.0,0.0,0.0,0,3009,2.6371363263392333
7364,7364,2022-04-12,4,1718.0,12.9,0.0,1,2970,0.9256187935089186
7365,7365,2022-04-12,7,1556.0,12.9,0.0,1,2970,1.2019046967138722
7366,7366,2022-04-12,10,1365.0,0.0,0.0,0,2970,1.51890756302521
7367,7367,2022-04-12,21,953.0,0.0,0.0,0,2970,2.945029598685383
7368,7368,2022-04-13,4,1690.0,8.6,0.0,1,2365,1.0634357981963207
7369,7369,2022-04-13,7,1494.0,8.6,0.0,1,2365,1.351451369025262
7370,7370,2022-04-13,10,1307.0,0.0,0.0,0,2365,1.726872539375352
7371,7371,2022-04-13,21,887.0,0.0,0.0,0,2365,2.9455952332441377
7372,7372,2022-04-14,4,2926.0,10.2,1.0,1,3892,0.675259858109223
7373,7373,2022-04-14,7,2650.0,10.2,1.0,1,3892,0.957299774444166
7374,7374,2022-04-14,10,2334.0,0.0,0.0,0,3892,1.1906038876110585
7375,7375,2022-04-14,21,1503.0,0.0,0.0,0,3892,2.253710410991593
7376,7376,2022-04-15,4,4510.0,10.9,0.0,1,7062,0.7213236625191586
7377,7377,2022-04-15,7,4267.0,10.9,0.0,1,7062,0.8989824020633981
7378,7378,2022-04-15,10,4075.0,0.0,0.0,0,7062,1.0207939987080346
7379,7379,2022-04-15,21,3500.0,0.0,0.0,0,7062,1.4801527208245595
7380,7380,2022-04-16,4,4797.0,15.9,0.0,1,7135,1.0406391685729008
7381,7381,2022-04-16,7,4517.0,15.9,0.0,1,7135,1.4741581718124892
7382,7382,2022-04-16,10,4323.0,0.0,0.0,0,7135,1.594232201902274
7383,7383,2022-04-16,21,2931.0,0.0,0.0,0,7135,2.7902451573352893
7384,7384,2022-04-17,4,5014.0,17.2,0.0,1,7117,0.419425608296769
7385,7385,2022-04-17,7,3963.0,17.2,0.0,1,7117,0.795861720918496
7386,7386,2022-04-17,10,3783.0,0.0,0.0,0,7117,0.8813111287338091
7387,7387,2022-04-17,21,2634.0,0.0,0.0,0,7117,1.7019741837509492
7388,7388,2022-04-18,4,4831.0,18.4,0.0,1,7262,0.5032084454564273
7389,7389,2022-04-18,7,3969.0,18.4,0.0,1,7262,0.8296800201562107
7390,7390,2022-04-18,10,3132.0,0.0,0.0,0,7262,1.318646232439336
7391,7391,2022-04-18,21,1922.0,0.0,0.0,0,7262,2.778355879292404
7392,7392,2022-04-23,4,3371.0,12.6,0.0,1,5108,0.8518505055435159
7393,7393,2022-04-23,7,3196.0,12.6,0.0,1,5108,1.1432993965603753
7394,7394,2022-04-23,10,2943.0,0.0,0.0,0,5108,1.41035667261298
