,date,visitors,weather_rain,weather_temp
0,2010-04-28,2,1.0,10.7
1,2010-04-30,2,0.0,17.5
2,2010-05-01,780,0.0,14.0
3,2010-05-02,557,0.0,12.3
4,2010-05-03,112,0.0,12.4
5,2010-05-04,106,0.0,12.1
6,2010-05-05,105,0.0,11.2
7,2010-05-06,134,0.0,9.6
8,2010-05-07,301,0.0,11.1
9,2010-05-08,617,1.0,6.5
10,2010-05-09,565,0.0,10.8
11,2010-05-10,179,0.0,13.9
12,2010-05-11,354,0.0,13.1
13,2010-05-12,527,0.0,13.5
14,2010-05-13,1837,1.0,12.5
15,2010-05-14,2772,1.0,15.5
16,2010-05-15,3835,0.0,20.6
17,2010-05-16,1355,0.0,12.9
18,2010-05-17,332,0.0,16.6
19,2010-05-18,386,1.0,21.5
20,2010-05-19,376,1.0,20.8
21,2010-05-20,603,0.0,23.1
22,2010-05-21,633,0.0,23.1
23,2010-05-22,16,0.0,22.0
24,2010-05-23,1638,1.0,18.2
25,2010-05-24,534,0.0,17.8
26,2010-05-25,405,1.0,13.7
27,2010-05-26,396,0.0,14.9
28,2010-05-27,404,0.0,16.9
29,2010-05-28,1012,1.0,15.8
30,2010-05-29,3359,1.0,15.8
31,2010-05-30,2089,0.0,17.7
32,2010-05-31,618,0.0,18.1
33,2010-06-01,657,0.0,18.7
34,2010-06-02,419,0.0,23.3
35,2010-06-03,616,0.0,22.5
36,2010-06-04,1112,0.0,20.3
37,2010-06-05,4161,0.0,19.2
38,2010-06-06,2627,0.0,22.2
39,2010-06-07,1362,1.0,13.6
40,2010-06-08,1412,0.0,17.8
41,2010-06-09,1358,1.0,16.8
42,2010-06-10,937,0.0,16.8
43,2010-06-11,1279,1.0,14.1
44,2010-06-12,3965,0.0,16.2
45,2010-06-13,2574,0.0,20.0
46,2010-06-14,1808,0.0,17.9
47,2010-06-15,1785,0.0,18.8
48,2010-06-16,2157,0.0,21.1
49,2010-06-17,2275,0.0,23.3
50,2010-06-18,1885,1.0,19.3
51,2010-06-19,4975,0.0,17.1
52,2010-06-20,3050,1.0,17.6
